Tag	GSM4101749	GSM4101750	GSM4101751	GSM4101752	GSM4101753	GSM4101754	GSM4101755	GSM4101756	GSM4101757	GSM4101758	GSM4101759	GSM4101760	GSM4101761
SNRNP200	9.12918	8.91362	8.74583	8.85116	9.27548	8.83893	8.32929	8.97196	9.36462	8.31382	9.31823	8.94733	8.38517
SNRNP25	6.24601	7.14433	6.88078	8.16801	8.51333	9.31776	7.6714	7.97842	8.7257	8.91925	8.61568	8.6629	7.59357
SNRNP27	7.8938	7.93255	7.92358	8.19565	8.42136	8.1989	7.86234	8.4014	8.1403	8.36879	8.2876	8.27326	8.33461
SNRNP35	5.60628	5.48939	6.09565	5.44473	5.6721	5.89562	5.26553	5.93181	5.82853	5.16028	5.44949	5.48847	5.19725
SNRNP40	8.00474	7.31282	7.40016	8.02863	8.49727	8.03659	7.38748	7.07985	8.30616	8.47205	7.7512	8.50185	7.25708
SNRNP48	5.88227	5.83049	5.60148	6.78883	7.40434	6.45687	6.34958	6.75554	7.16937	6.45648	6.48321	6.84374	7.00186
SNRNP70	7.78355	8.12288	8.52084	8.88526	8.45637	8.73937	8.64512	8.23125	9.33367	8.26622	8.2114	8.63778	7.76331
SNRPA	8.23566	8.87638	8.72908	9.15245	9.15923	8.91053	8.99245	8.22233	9.18427	9.1007	8.70512	9.306	8.8155
SNRPA1	5.22551	5.51322	6.41516	5.85174	6.49419	4.46711	5.43008	6.19649	6.95058	4.77621	5.81302	5.7428	4.97752
SNRPB	6.85912	6.87816	6.15641	8.05065	8.79401	8.6487	8.58029	7.70829	8.47993	8.54489	8.15414	8.55176	8.47565
SNRPB2	8.76251	8.45253	8.60425	8.06743	8.51229	8.51048	8.39263	8.03213	8.3637	9.26788	8.68383	8.46747	8.04445
SNRPC	7.05009	6.96624	7.00565	7.4453	6.76521	7.52711	7.08813	7.13268	7.56042	7.3726	6.45361	7.45998	6.68321
SNRPD1	5.695185	5.096225	5.23895	4.59378	5.40157	5.149315	4.965495	5.359235	5.80441	4.78735	4.966395	4.798035	4.42116
SNRPD2	6.37575	6.501245	6.06153	5.88692	6.39545	6.67737	6.334095	6.201175	7.01334	6.272415	6.21747	6.18052	6.31947
SNRPD2P2	3.6397	3.35388	3.22834	3.39846	3.84722	3.42082	3.22713	3.73309	3.38461	3.37742	3.56669	3.30094	4.18716
SNRPD3	9.94922	9.60098	10.4281	7.90985	8.25604	8.51647	7.42096	7.60929	8.04427	7.98616	8.03816	7.97405	7.91007
SNRPE	7.06806	7.12379	7.42332	6.79121	7.61255	7.17072	7.32161	6.98967	7.32986	7.78916	7.38161	7.3399	7.09134
SNRPF	6.64914	6.34502	6.6182	4.61033	5.45829	5.31813	5.2025	4.98984	5.61044	5.14928	5.15136	5.19443	4.64232
SNRPG	4.108285	4.624995	4.651045	4.53989	5.260255	5.13832	4.582245	5.00049	5.347075	4.9105	4.894365	4.54089	4.58733
